creation_id,compound_name,printed_name,mg,conc,vol,len_before,len_after
PBVita-Lab-023,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5855,6651
PBVita-Lab-119,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5946,6742
PBVita-Lab-085,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5881,6693
PBVita-Lab-221,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5819,6610
PBVita-Lab-061,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5883,6656
PBVita-Lab-123,BPC-157,BPC-157,20mg,2 mg/ml,10ml,4111,4827
PBVita-Lab-439,TB-500,TB-500,10mg,1 mg/ml,10ml,5823,6595
PBVita-Lab-470,SS-31,SS-31,10mg,1 mg/ml,10ml,5789,6515
PBVita-Lab-190,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5965,6739
PBVita-Lab-024,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5754,6526
PBVita-Lab-200,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5774,6546
PBVita-Lab-087,NAD+,NAD+,1000mg,100 mg/ml,10ml,4070,4797
PBVita-Lab-246,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,4115,4828
PBVita-Lab-062,Selank,Selank,10mg,1 mg/ml,10ml,5892,6664
PBVita-Lab-124,TA-1,TA-1,10mg,1 mg/ml,10ml,5779,6549
PBVita-Lab-469,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5721,6447
PBVita-Lab-472,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,4088,4867
PBVita-Lab-215,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5900,6696
PBVita-Lab-025,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5834,6630
PBVita-Lab-225,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5779,6591
PBVita-Lab-088,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5744,6535
PBVita-Lab-203,BPC-157,BPC-157,10mg,1 mg/ml,10ml,4107,4823
PBVita-Lab-063,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5788,6561
PBVita-Lab-125,TB-500,TB-500,10mg,1 mg/ml,10ml,4067,4784
PBVita-Lab-359,SS-31,SS-31,10mg,1 mg/ml,10ml,5841,6612
PBVita-Lab-473,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5862,6636
PBVita-Lab-050,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5785,6557
PBVita-Lab-026,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5886,6658
PBVita-Lab-151,NAD+,NAD+,1000mg,100 mg/ml,10ml,5898,6676
PBVita-Lab-089,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5934,6710
PBVita-Lab-228,Selank,Selank,10mg,1 mg/ml,10ml,5894,6666
PBVita-Lab-065,TA-1,TA-1,10mg,1 mg/ml,10ml,5805,6531
PBVita-Lab-326,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,6032,6809
PBVita-Lab-415,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5910,6686
PBVita-Lab-474,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5912,6708
PBVita-Lab-216,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5837,6633
PBVita-Lab-027,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5929,6741
PBVita-Lab-145,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5840,6631
PBVita-Lab-090,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5761,6534
PBVita-Lab-353,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5697,6423
PBVita-Lab-276,TB-500,TB-500,10mg,1 mg/ml,10ml,5933,6705
PBVita-Lab-327,SS-31,SS-31,10mg,1 mg/ml,10ml,4119,4837
PBVita-Lab-440,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5857,6631
PBVita-Lab-475,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5748,6520
PBVita-Lab-241,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5863,6635
PBVita-Lab-028,NAD+,NAD+,1000mg,100 mg/ml,10ml,5852,6630
PBVita-Lab-201,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5890,6666
PBVita-Lab-091,Selank,Selank,10mg,1 mg/ml,10ml,5744,6470
PBVita-Lab-204,TA-1,TA-1,10mg,1 mg/ml,10ml,4084,4803
PBVita-Lab-277,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,6011,6788
PBVita-Lab-328,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5869,6645
PBVita-Lab-360,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5795,6591
PBVita-Lab-476,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,6009,6805
PBVita-Lab-136,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,4108,4869
PBVita-Lab-029,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5829,6620
PBVita-Lab-226,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5773,6499
PBVita-Lab-092,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5956,6729
PBVita-Lab-229,TB-500,TB-500,10mg,1 mg/ml,10ml,5905,6677
PBVita-Lab-278,SS-31,SS-31,10mg,1 mg/ml,10ml,5954,6725
PBVita-Lab-329,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5889,6663
PBVita-Lab-361,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5924,6696
PBVita-Lab-477,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5872,6644
PBVita-Lab-192,NAD+,NAD+,1000mg,100 mg/ml,10ml,5727,6505
PBVita-Lab-030,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5508,6234
PBVita-Lab-086,Selank,Selank,10mg,1 mg/ml,10ml,6013,6785
PBVita-Lab-093,TA-1,TA-1,10mg,1 mg/ml,10ml,5906,6676
PBVita-Lab-464,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5813,6590
PBVita-Lab-279,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,3969,4748
PBVita-Lab-330,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5871,6667
PBVita-Lab-363,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5767,6563
PBVita-Lab-478,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5851,6663
PBVita-Lab-217,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5791,6533
PBVita-Lab-416,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5778,6551
PBVita-Lab-152,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5883,6656
PBVita-Lab-094,TB-500,TB-500,10mg,1 mg/ml,10ml,5861,6633
PBVita-Lab-064,SS-31,SS-31,10mg,1 mg/ml,10ml,4068,4786
PBVita-Lab-280,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5806,6580
PBVita-Lab-331,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,4089,4806
PBVita-Lab-364,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5928,6700
PBVita-Lab-479,NAD+,NAD+,1000mg,100 mg/ml,10ml,5871,6605
PBVita-Lab-242,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,4120,4833
PBVita-Lab-441,Selank,Selank,10mg,1 mg/ml,10ml,5910,6682
PBVita-Lab-202,TA-1,TA-1,10mg,1 mg/ml,10ml,4181,4900
PBVita-Lab-095,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,4096,4808
PBVita-Lab-205,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,3988,4767
PBVita-Lab-281,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5917,6713
PBVita-Lab-332,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5843,6639
PBVita-Lab-365,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,4045,4806
PBVita-Lab-480,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5913,6704
PBVita-Lab-194,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5895,6668
PBVita-Lab-471,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5825,6598
PBVita-Lab-227,TB-500,TB-500,10mg,1 mg/ml,10ml,4082,4799
PBVita-Lab-096,SS-31,SS-31,10mg,1 mg/ml,10ml,5887,6658
PBVita-Lab-282,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5917,6691
PBVita-Lab-333,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5851,6623
PBVita-Lab-366,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5781,6507
PBVita-Lab-481,NAD+,NAD+,1000mg,100 mg/ml,10ml,4071,4798
PBVita-Lab-197,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5865,6641
PBVita-Lab-031,Selank,Selank,10mg,1 mg/ml,10ml,5887,6659
PBVita-Lab-462,TA-1,TA-1,10mg,1 mg/ml,10ml,5803,6573
PBVita-Lab-097,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5916,6693
PBVita-Lab-283,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5870,6646
PBVita-Lab-334,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5836,6632
PBVita-Lab-368,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5730,6482
PBVita-Lab-482,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,4070,4831
PBVita-Lab-222,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5909,6700
PBVita-Lab-417,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5818,6591
PBVita-Lab-022,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5829,6602
PBVita-Lab-362,TB-500,TB-500,10mg,1 mg/ml,10ml,5864,6636
PBVita-Lab-284,SS-31,SS-31,10mg,1 mg/ml,10ml,4121,4839
PBVita-Lab-335,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5835,6609
PBVita-Lab-369,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5633,6359
PBVita-Lab-483,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5796,6568
PBVita-Lab-017,NAD+,NAD+,1000mg,100 mg/ml,10ml,5854,6632
PBVita-Lab-442,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5784,6560
PBVita-Lab-153,Selank,Selank,10mg,1 mg/ml,10ml,5824,6596
PBVita-Lab-418,TA-1,TA-1,10mg,1 mg/ml,10ml,5934,6704
PBVita-Lab-285,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5907,6684
PBVita-Lab-336,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5804,6580
PBVita-Lab-371,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5660,6402
PBVita-Lab-484,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5931,6727
PBVita-Lab-198,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5762,6574
PBVita-Lab-032,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5834,6625
PBVita-Lab-154,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5780,6553
PBVita-Lab-443,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5922,6695
PBVita-Lab-286,TB-500,TB-500,10mg,1 mg/ml,10ml,5878,6650
PBVita-Lab-337,SS-31,SS-31,10mg,1 mg/ml,10ml,6030,6801
PBVita-Lab-374,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5684,6410
PBVita-Lab-485,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5935,6707
PBVita-Lab-223,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5877,6649
PBVita-Lab-033,NAD+,NAD+,1000mg,100 mg/ml,10ml,5833,6611
PBVita-Lab-155,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5587,6363
PBVita-Lab-098,Selank,Selank,10mg,1 mg/ml,10ml,5873,6645
PBVita-Lab-287,TA-1,TA-1,10mg,1 mg/ml,10ml,5801,6571
PBVita-Lab-338,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5850,6627
PBVita-Lab-199,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5646,6370
PBVita-Lab-034,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5906,6702
PBVita-Lab-156,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5906,6702
PBVita-Lab-164,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5868,6680
PBVita-Lab-288,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,6005,6796
PBVita-Lab-339,BPC-157,BPC-157,10mg,1 mg/ml,10ml,4083,4799
PBVita-Lab-230,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5876,6649
PBVita-Lab-035,TB-500,TB-500,10mg,1 mg/ml,10ml,5859,6631
PBVita-Lab-157,SS-31,SS-31,10mg,1 mg/ml,10ml,5714,6440
PBVita-Lab-419,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5830,6604
PBVita-Lab-289,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5834,6606
PBVita-Lab-340,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,4208,4925
PBVita-Lab-411,NAD+,NAD+,1000mg,100 mg/ml,10ml,4072,4799
PBVita-Lab-036,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5953,6729
PBVita-Lab-437,Selank,Selank,10mg,1 mg/ml,10ml,5891,6663
PBVita-Lab-444,TA-1,TA-1,10mg,1 mg/ml,10ml,5857,6627
PBVita-Lab-290,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5777,6503
PBVita-Lab-341,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,4049,4828
PBVita-Lab-436,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5864,6660
PBVita-Lab-037,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,4198,4943
PBVita-Lab-158,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5834,6646
PBVita-Lab-301,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,4103,4833
PBVita-Lab-293,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5912,6685
PBVita-Lab-342,BPC-157,BPC-157,20mg,2 mg/ml,10ml,4176,4892
PBVita-Lab-412,TB-500,TB-500,10mg,1 mg/ml,10ml,5703,6429
PBVita-Lab-038,SS-31,SS-31,10mg,1 mg/ml,10ml,4087,4805
PBVita-Lab-413,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5916,6690
PBVita-Lab-302,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5895,6667
PBVita-Lab-294,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5853,6625
PBVita-Lab-344,NAD+,NAD+,1000mg,100 mg/ml,10ml,5876,6654
PBVita-Lab-099,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5911,6687
PBVita-Lab-039,Selank,Selank,10mg,1 mg/ml,10ml,5712,6484
PBVita-Lab-438,TA-1,TA-1,10mg,1 mg/ml,10ml,4037,4756
PBVita-Lab-303,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5931,6708
PBVita-Lab-295,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5959,6735
PBVita-Lab-345,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,4234,4959
PBVita-Lab-445,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5720,6516
PBVita-Lab-040,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5967,6779
PBVita-Lab-159,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5858,6649
PBVita-Lab-304,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5823,6596
PBVita-Lab-296,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5722,6448
PBVita-Lab-346,TB-500,TB-500,10mg,1 mg/ml,10ml,5925,6697
PBVita-Lab-100,SS-31,SS-31,10mg,1 mg/ml,10ml,5825,6596
PBVita-Lab-251,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5776,6550
PBVita-Lab-414,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5824,6596
PBVita-Lab-305,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,4092,4809
PBVita-Lab-297,NAD+,NAD+,1000mg,100 mg/ml,10ml,5744,6522
PBVita-Lab-347,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5767,6543
PBVita-Lab-446,Selank,Selank,10mg,1 mg/ml,10ml,5753,6479
PBVita-Lab-252,TA-1,TA-1,10mg,1 mg/ml,10ml,5859,6629
PBVita-Lab-160,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5954,6731
PBVita-Lab-306,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5782,6558
PBVita-Lab-299,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5865,6661
PBVita-Lab-348,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5893,6689
PBVita-Lab-167,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5890,6702
PBVita-Lab-253,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5829,6620
PBVita-Lab-161,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5755,6481
PBVita-Lab-307,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5932,6705
PBVita-Lab-300,TB-500,TB-500,10mg,1 mg/ml,10ml,5911,6683
PBVita-Lab-349,SS-31,SS-31,10mg,1 mg/ml,10ml,5773,6544
PBVita-Lab-422,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5797,6571
PBVita-Lab-454,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5937,6709
PBVita-Lab-162,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5871,6643
PBVita-Lab-308,NAD+,NAD+,1000mg,100 mg/ml,10ml,4201,4928
PBVita-Lab-460,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5731,6457
PBVita-Lab-447,Selank,Selank,10mg,1 mg/ml,10ml,5815,6587
PBVita-Lab-254,TA-1,TA-1,10mg,1 mg/ml,10ml,4105,4824
PBVita-Lab-163,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5788,6565
PBVita-Lab-309,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5832,6608
PBVita-Lab-350,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5856,6652
PBVita-Lab-367,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5871,6667
PBVita-Lab-430,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5741,6553
PBVita-Lab-165,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5691,6433
PBVita-Lab-310,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5887,6660
PBVita-Lab-268,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5829,6602
PBVita-Lab-423,TB-500,TB-500,10mg,1 mg/ml,10ml,5843,6615
PBVita-Lab-455,SS-31,SS-31,10mg,1 mg/ml,10ml,5895,6666
PBVita-Lab-166,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5878,6652
PBVita-Lab-311,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5909,6681
PBVita-Lab-395,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,4190,4907
PBVita-Lab-448,NAD+,NAD+,1000mg,100 mg/ml,10ml,5834,6568
PBVita-Lab-255,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,6036,6812
PBVita-Lab-168,Selank,Selank,10mg,1 mg/ml,10ml,5968,6740
PBVita-Lab-312,TA-1,TA-1,10mg,1 mg/ml,10ml,5760,6530
PBVita-Lab-275,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5796,6573
PBVita-Lab-169,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5966,6742
PBVita-Lab-256,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5837,6633
PBVita-Lab-170,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,4202,4947
PBVita-Lab-313,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5635,6403
PBVita-Lab-424,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5846,6637
PBVita-Lab-426,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5984,6757
PBVita-Lab-257,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5918,6691
PBVita-Lab-172,TB-500,TB-500,10mg,1 mg/ml,10ml,4039,4756
PBVita-Lab-314,SS-31,SS-31,10mg,1 mg/ml,10ml,5691,6462
